,Unnamed: 0,url,fetch_date,active,removal_date,price,Kohdenumero,Sijainti,Tyyppi,Asuintilojen pinta-ala,Kerrokset,Tehdyt remontit,Asunnon kunto,Lämmitysjärjestelmän kuvaus,Taloyhtiön nimi,Tulevat remontit,Tontin omistus,Tontin vuokra-aika päättyy,Tontin vuokra-aika,huoneita
13,13,https://www.etuovi.com/kohde/80418554,19072025,True,,109500.0,80418554,Heinäpää,Oh + alkovi + kk + kh / wc + s + vh,"36,5 m²",3/4,2025 Ilmanvaihtokoneiden korjaus/uusinta,Hyvä,Kaukolämpö,564-5-4-25,Hallituksen viiden vuoden kunnossapitotarveselvityksen mukaiset,Oma,,,O
14,14,https://www.etuovi.com/kohde/1393186,19072025,True,,0.0,1393186,Heinäpää,"2h, k, kph, lasitettu parveke","61,5 m²",3/6,"Huoneistojen ikkunat ja parvekeovet uusittu 2001, ulko-ovet 2004 ja 2008, piha-asfaltti uusittu osittain 2006, käyttövesi- ja viemäriverkoston kuntotutkimus 2010, lämmönsiirrin, patteripuolen siirrin uusittu 2011, kellariviemärit sukitettu, kerrosviemärit pinnoitettu 2013, vesi-, sähkö- ja tv/tietotekniikkaverkoston uusiminen, saunaosaston uusiminen, ilmastoinnin ja patteriverkoston perussäätö 2014, vesikaton kuntotutkimus 2015, vesikatteen korjaus ja sokkelin maalaus 2016, lasten keinu 2017, hissien uusiminen ja rappujen yhdyskäytäväovien uusiminen 2019, tonttiaidan uusiminen 2021, IV kanavien nuohous 2024",Hyvä,"Kaukolämpö, vesikeskuslämmitys","Hissi, Taloyhtiössä on sauna",Suunnitellut kunnossapito- ja muutostyöt:,Vuokra,30.12.2057,,2
15,15,https://www.etuovi.com/kohde/21748978,19072025,True,,99000.0,21748978,Heinäpää,3 h + k + kph + lasit.parveke,68 m²,3/3,"Ikkunat ja parvekeovet uusittu 1989, Syöksytorvet uusittu 2000, Parvekkeet kunnostettu 2001, Vesikatto uusittu 2006, Porraskäytävät maalattu 2007, Lämmönsiirtimet uusittu 2007, Pihan peruskorjaus 2012, Pp-katokset rakennettu 2012, Ikkunapuitteiden huoltomaalaus 2013, Julkisivulevyjen huoltomaalaus 2013, Sokkelin maalaus 2013, Ulkoportaiden akryylipinnoitus 2013, Vaaka- ja pystyviemärit pinnoitettu 2013-2014, Käyttövesiputket uusittu 2016, Veden kulutusmittarit asennettu 2016, Kellarik./kuiv.huoneen pinnoitus ja maalaus 2017, Ulko-ovien ovilipat rakennettu 2018, Kerrostaso-ovet lakattu 2019, Pyöräkatokset huoltomaalattu 2019, Porraskäytävien seinien maalaus 2021-2022",Ei luokiteltu,Kaukolämpö,Isännöintipalvelu Heikki Lahti Oy Isännöitsijä: Jussi Roininen Puh. 050 471 4505 Sähköposti: jussi@hlahti.fi,"Kunnossapitotarveselvityksen mukaan: Lukituksen uusiminen, Kellari-ikkunoiden uusiminen",Oma,,,3
16,16,https://www.etuovi.com/kohde/bd6439,19072025,True,,70000.0,bd6439,Heinäpää,1h + kk,"27,5 m²",4/5,,Hyvä,,,,,,,1
17,17,https://www.etuovi.com/kohde/80427175,19072025,True,,114000.0,80427175,Heinäpää,2h + kk + kh + s + lasitettu parveke,42 m²,2/5,"2024 IV- kanavien nuohous, mittaus- ja säätö. Katolle menevän seinätikkaan nousulevyn asennus.",Hyvä,Kaukolämpö,"OIT Isännöinti Oy, Klaus Puolitaival",Kunnossapitotarveselvityksen mukaisia toimenpiteitä:,Oma,,,2
18,18,https://www.etuovi.com/kohde/599128,19072025,True,,99000.0,599128,Heinäpää,"2h, k","58,5 m²",3/3 (ylin kerros),Vesikaton huopakermi 1993.,,Kaukolämpö,Oiva Isännöinti Tuira Oy,Päätetyt: Saunan kunnostus 2025.,Oma,,,2
19,19,https://www.etuovi.com/kohde/20995328,19072025,True,,99500.0,20995328,Heinäpää,"2h, k, oh, kph / wc, lasitettu parveke","55,5 m²",3/3,"Vesikaton uusiminen 2019. Rakennusten seinien alaosien pintavaurioiden kunnostus ja maalaus, parvekkeiden (4 kpl) kunnostus ja maalaus 2018. Pihan raja-aitojen kunnostaminen/uusiminen, patteriverkoston sulkuventtiilien uusiminen kellaritiloissa 2017. Puisteluparvekkeiden kunnostus ja osittainen maalaus, elementtisaumojen korjaukset 2016. Peltikatteen korjaukset ja lumiesteiden asennus 2015. Pyörävarastojen ovien uusiminen (5 kpl), koodilukot ulko-oviin 2013. Linjasaneeraus (viemärit uusittu, käyttövesiputket uusittu, sähköistys nykyaikaistettu, yleiset tilat huoltomaalattu, taloyhtiön sauna- ja pesuhuonetilat uusittu), pihat asfaltoitu, sadevesiviemäreiden asennukset tehty, pihavalaistus uusittu, rappukäytävien maalaukset suorettu ja tasanteiden laatoitus uusittu, sisääntulon ulkoportaat ja kaiteet uusittu 2012. Autopaikkojen lisäys 2009. Lukkojen ja ulko-ovien uusiminen 2008. Vesikatteen korjauksia ja kourujen kunnostus 2006. Kaukolämmön alajakokeskus uusittu 2004. Huoneistojen ikkunat ja parvekeovet uusittu 1999. Asunnon remontit: Keittiö remontoitu 2021 ja asunnon lattiat. Pesuhuone remontoitu 2012 ja kaapistot uusittu.",Hyvä,Kaukolämpö,Kiinteistötahkola / Aleksi Lepistö p. 0207 488 224 aleksi.lepisto@kiinteistotahkola.fi,"2019 vesikaton uusiminen, suoritettu",Vuokra,30.12.2024,,2
20,20,https://www.etuovi.com/kohde/1396092,19072025,True,,119500.0,1396092,Heinäpää,"2h, k, kph / wc, parveke","50,5 m²",2/3,"1990 Julkisivu+lisäeristys,",Hyvä,"Kaukolämpö, vesikeskuslämmitys",Taloyhtiössä on sauna,Kunnossapitotarveselvitys:,Oma,,,2
21,21,https://www.etuovi.com/kohde/21388986,19072025,True,,109000.0,21388986,Heinäpää,"2h, k, wc, lasiettu parveke",50 m²,2/4,2024 Palovaroittimien uusiminen.,Hyvä,Kaukolämpö,"Ulla Pitkänen, Isännöinti Vuorma 044 753 1166",Hallituksen kunnossapitotarveselvityksen mukaan:,Oma,,,2
22,22,https://www.etuovi.com/kohde/20217489,19072025,True,,149000.0,20217489,HeinäpääLeveri,2h + k + kph + et,56 m²,1/2,Julkisivut kunnostettiin ja maalattiin 1998.,Hyvä,Sähkölämmitys,Jukka Piispanen 050 370 8535 jukka.piispanen@palolapiispanen.fi,,Oma,,,2
23,23,https://www.etuovi.com/kohde/20205626,19072025,True,,79500.0,20205626,Heinäpää,1h + kk,"30,5 m²",1/5,A-saunan lauteiden uusiminen 2024. Iv-kanaviston ja päätelaitteiden puhdistus/säätö 2024- Salaojien huuhtelu ja tarkastus 2023. Paisunta-astian uusiminen ja siirto katolta LJK:hon 2022. Käyttövesiputkien ja sähkönousujen uusiminen 2019. Uima-allaslaitteiston huuhteluputkien uusiminen 2018. Lämpimän käyttöveden ja pumppu uusittu 2018. Porraskäytävien maalauskunnostus 2016. Viemäreiden pinnoitus 2015-2016. Pohjaviemärin sukitus 2015. Vesikaton peruskorjaus 2015. Koodilukitus ulko-oviin 2013. A-portaan hissi 2013. Pyykinpesukone 2012. Raja-aita uusittu 2011. Lämmönvaihdin uusittu 2010. B-rapun kylmäkellarin kompressori uusittu 2009. Lämmitystolppien kotelot 2009. Lukitus uusittu 2002. Iv-kanavien puhdistus 2001. Parvekkeiden lasitus 2000. Ulkoiluvälinevaraston saneeraus 1999. Kadunpuolen ulko-ovet 1998. Ikkunat ja parvekeovet 1992.,Hyvä,Kaukolämpö,"Isännöintitoimisto Oiva Isännöinti Tuira Oy, Hallituskatu 26 A, 90100 Oulu. Isännöitsijä Pekka Auvinen 08 415 411 89.",Hallituksen kunnossapitotarveselvitys 2025-2029: Parvekkeiden maalauskunnostus ja syöksytorvien lisääminen parvekekattojen vedenpoistoon. Sauna/uima-allasosaston peruskunnostus. Patteriventtiilien uusiminen 2024 (kokonaishinta-arvio n. 45.000 euroa). Jäteaseman uusiminen mahdollisesti naapuritaloyhtiön kanssa. Palovaroittimien uusinta ja ottaminen yhtiön vastuulle 2025. VSS-tilan puutteiden selvittäminen ja pelastussuunnitelman päivittäminen.,Oma,,,1
24,24,https://www.etuovi.com/kohde/21029015,19072025,True,,83000.0,21029015,Heinäpää,2h + k,48 m²,3/3,Tehdyt remontit taloyhtiössä:,Tyydyttävä,Kaukolämpö,Isännöintipalvelu Heikki Lahti Oy Tomi Haapaniemi tomi@hlahti.fi,,Vuokra,30.12.2055,,2
25,25,https://www.etuovi.com/kohde/58753080,19072025,True,,138000.0,58753080,Heinäpää,"3h, k, kph, lasp","78,5 m²",Ylin kerros,2024 Muu,Hyvä,Lämmitystapa: Kaukolämpö,Jarno Hakkarainen,,Vuokra,1.1.2055,,3
26,26,https://www.etuovi.com/kohde/593061,19072025,True,,185000.0,593061,Heinäpää,"3h, k, s",70 m²,Ei tiedossa,2008 Parvekkeiden käsijohteiden pellitys.,,Kaukolämpö,Kiinteistö-Tahkola Oulu Oy,Suunnitellut: Kunnossapitotarveselvityksen mukaiset korjaustarpeet seuraavalle viidelle vuodelle:,Vuokra,,Vuokrasopimus päättyy 31.12.2060,3
27,27,https://www.etuovi.com/kohde/80421533,19072025,True,,117000.0,80421533,Heinäpää,"3h, k, kph / wc, vh, parveke","67,5 m²",1/3,A-C ulko-ovien uusiminen 1997. Lukostojen uusiminen 1999. Ikkunoiden ja parvekeovien uusiminen 2008. A-C vesikaton pinnoitus 2008. Talotekniikan linjasaneeraus+julkisivut/lisäeristys 2010. Parvekkeet peruskorjattu 2009-2010. A-C taloon koneellinen ilmanpoisto 2009-2010. Lämpimän käyttöveden vaihdin uusittu 2012. Taloyhtiöinternet (Netplaza) asennettu 2012. Ulko-ovien koodilukitus asennettu 2014. Paikoitusalueen/ajotien asfaltointi 2018. IV-kanavien puhdistus ja säätö 2021. PTS-kuntoarvio tarkastus 2022. A-C katon paikkauksia rännikourujen ja syöksytorvien uusiminen 2023. Korkean D-talon vesikaton uusiminen 2023. Patolevyjen asennus D-talon kellarin puoleinen seinusta ja A-C talon sisäpihan puoleinen seinusta 2024. Lämmönjakokeskuksen uusinta 2024.,Hyvä,Kaukolämpö,"Oiva Isännöinti Oulu Oy, Pekka Kallunki, 010 755 6233",Kunnossapitotarveselvityksellä viidelle vuodelle suunnitteilla: Väestönsuojan IVL-koneen uusiminen. Jäteaseman päivittäminen. Huoneistojen ovien vaihto + lukitus. A-B-C -talon vesikaton uusiminen.,Vuokra,31.12.2054,,3
28,28,https://www.etuovi.com/kohde/80419380,19072025,True,,109000.0,80419380,Heinäpää,"2h, kk, kph",40 m²,4/5,2005 Ikkunat ja parvekeovet uusittu.,Hyvä,Kaukolämpö,"Kiinteistötahkola, Lassi Ylikulju, lassi.ylikulju@kiinteistotahkola.fi, 0207480234","Isokadun remontti, vaikutus myös kiinteistöön 2026. Palovaroittimien asennus 2025.",Oma,,,2
29,29,https://www.etuovi.com/kohde/594553,19072025,True,,59500.0,594553,Heinäpää,"1h, kk",27 m²,Ei tiedossa,"1997 A-C talon ulko-ovet uusittu. 1999 Lukitusjärjestelmä uusittu. 2008 A-C talon vesikaton pinnoitus ja ikkunat ja asuntojen parvekeovet uusittu. 2010 parvekkeet peruskorjattu, LVIS-saneeraus ja A-C taloon koneellinen ilmanpoisto. 2012 lämpimän käyttöveden vaihdin uusittu ja taloyhtiöinternet asennettu. 2014 ulko-ovien koodilukitus asennettu. 2018 paikoitusalueen /ajotien asfaltointi. 2021 IV-kanavien puhdistus ja säätö. 2023 A-C katon paikkauksia, rännikourujen ja syöksytorvien uusiminen sekä korkean D-talon vesikaton uusiminen. Lämmönjakokeskuksen uusiminen 2024.. Asunnon remontit: Kylppäri uudistettu linjasaneerauksen yhteydessä v 2010",,Kaukolämpö,Oiva Isännöinti Oulu Oy,"Suunnitellut: Kunnossapitotarveselvitys 2024: jäteaseman päivittäminen nykystandardien mukaiseksi tarvittaessa (esim. Molok), huoneistojen ovien vaihto + lukitus, salaojituksen laittaminen kuntoon sekä sähköautojen latausvalmius 2026.",Vuokra,,Vuokrasopimus päättyy 01.01.2055,1
30,30,https://www.etuovi.com/kohde/21468071,19072025,True,,164900.0,21468071,Heinäpää,"1h, k, alk",37 m²,5/5,"2021, Latausasemavalmiuden hankinta autopaikoille",Hyvä,Kaukolämpö,Kiinteistö-Tahkola Oulu OyIsännöitsijä; Immo Rautiainen Sähköposti; immo.rautiainen@kiinteistötahkola.fi Puh; 020 748 8209,2 x vuosi: lV-koneiden suodattimien vaihto 2 x vuosi,Oma,,,1
31,31,https://www.etuovi.com/kohde/54311066,19072025,True,,198000.0,54311066,Heinäpää,"4h, k, s, lasp","88,5 m²",Ei tiedossa,SUORITETUT KORJAUKSET JA PERUSPARANNUKSET,Tyydyttävä,Lämmitystapa: Kaukolämpö,Oit Oy / Klaus Puolitaival,Asunto-osakeyhtiön hallituksen kunnossapitotarveselvitys (yhtiökokous 6.3.2025),Oma,,,4
32,32,https://www.etuovi.com/kohde/1388105,19072025,True,,141000.0,1388105,Heinäpää,"1h, kt, kph / wc, s, lasitettu parveke","35,5 m²",3/7,Huoltokirjan mukaiset toimenpiteet.,Hyvä,Kaukolämpö,Hissi,Kunnossapitotarveselvitys:,Oma,,,1
33,33,https://www.etuovi.com/kohde/20240378,19072025,True,,176000.0,20240378,Heinäpää,5h + k + sa,99 m²,2/3,2023 Lukituksen uusiminen.,Hyvä,Kaukolämpö,"Kiinteistö-Tahkola Oulu Oy | Aleksi Lepistö Lumijoentie 1, 90400 Oulu",Kunnossapitotarveselvitys: Ei tiedossa olevia.,Vuokra,30.12.2059,,5
34,34,https://www.etuovi.com/kohde/593216,19072025,True,,93000.0,593216,Heinäpää,"4h, k, kh",71 m²,2/3,"Ikkunat uusittu 1990. Käyttövesijohdot uusittu 1997. Julkisivukorjaus, lämpörappaus ja vesikate uusittu 2003. Tonttiviemärit uusittu ja sakokaivo ohitettu 2007. Kellarin viemäripumppaamo, sauna- ja pesulaosaston korjaus 2010. Liikehuoneistojen ikkunoiden ja ovien uusinta ja antennijärjestelmien uusinta 2015. Kaukolämmön lämmönvaihtimen uusinta 2018. Viemäreiden sukittaminen 2019. Pyykkituvan pyykinpesukoneen uusinta 2020. Kellarin viemäripumppaamon pumpun uusinta, pesutuvan rahastimen asentaminen 2023.. Asunnon remontit: Remontit tehty viimeksi 1980-luvulla",,Kaukolämpö,OIT Isännöinti Oy,Suunnitellut: Kunnossapitotarveselvitys ajalle 2024-2033:,Oma,,,4
35,35,https://www.etuovi.com/kohde/596368,19072025,True,,89900.0,596368,Heinäpää,"2h, kk",41 m²,3/6,"1997 A-C talon ulko-ovet uusittu. 1999 Lukitusjärjestelmä uusittu. 2008 A-C talon vesikaton pinnoitus ja ikkunat ja asuntojen parvekeovet uusittu. 2010 parvekkeet peruskorjattu, LVIS-saneeraus ja A-C taloon koneellinen ilmanpoisto. 2012 lämpimän käyttöveden vaihdin uusittu ja taloyhtiöinternet asennettu. 2014 ulko-ovien koodilukitus asennettu. 2018 paikoitusalueen /ajotien asfaltointi. 2021 IV-kanavien puhdistus ja säätö. 2023 A-C katon paikkauksia, rännikourujen ja syöksytorvien uusiminen sekä korkean D-talon vesikaton uusiminen. 2024 Lämmönjakokeskuksen uusiminen.. Asunnon remontit: Keittiö remontoitu. Lattiat uusittu ja seinät.",,Kaukolämpö,Oiva Isännöinti Oulu Oy,Suunnitellut: Suunnitellut: 2026 jäteseman päivittäminen nykystandardien mukaiseksi tarvittaessa (suositeltu),Vuokra,,Vuokrasopimus päättyy 01.01.2055,2
36,36,https://www.etuovi.com/kohde/1390292,19072025,True,,123900.0,1390292,Heinäpää,"2h, kk, kph, vh",45 m²,2/5,"Pihan puolen käytäväovi uusittu 1990. Sähkövastukset asennettu vesikouruihin 1999. Ikkunat ja parvekkeenovet uusittu 2002. Lämmönvaihdin uusittu, lämpimän käyttöveden vaihdin uusittu 2003. Julkisivut ja parvekkeet kunnostettu 2005. Kylmäkellarit poistettu käytöstä 2006. Autopaikkoja lisätty ja kotelot uusittu keloille 2007. Vesikaton huopapinnoite uusittu osittain 2009. Käyttövesiputkien uusiminen, asunto- ja pystyviemäreiden pinnoitus, puisteluparvekkeen lasittaminen 2011. Ullakkokaton seinätikkaiden uusiminen, ääneneristyslevyjen asentaminen porraskäytävään, kellarin wc- putkiston uudelleen järjestely, pyykkikone uusittu 2012. Pyörähuoneen ulko-ovi uusittu, kellarin seinien maalaus, pyörähuoneen lattian akryylipinnoitus, hissin kunnostus 2013. Betoniaidan maalauskunnostus, kellarilattian ja kellariportaiden akryylipinnoitus, saunan lauteiden ja löylyhuoneen paneloinnin uusiminen 2014. IV- kanavien puhdistus 2015. Hissin edustan ja oven pinnoitus ulkopuolelta 2016. Sadevesiviemärin sukitus 2017. Yläkaton pinnoitteen uusiminen 2019. Jäteaseman uusiminen 2019. Kylmäkellarissa olevan pohjaviemärin uusiminen 2020. Likakaivon ohittaminen 2020. Parvekkeiden vesikattojen uusiminen 2021. Elementtisaumojen uusiminen 2024.",Hyvä,Kaukolämpö,Ostajalle aiheutuvat kustannukset: Kunnossapitotarveselvityksen mukaisesti lukitusjärjestelmän uusiminen ja huoneistojen ovien uusiminen(6000e) ja porraskäytävien valaistuksen uusiminen(4000e) koko taloyhtiölle.,Kunnossapitotarveselvityksellä: 2025-2026 lukitusjärjestelmän uusiminen ja huoneistojen ovien uusiminen.2025 palovaroittimien asennus jokaiseeen asuinhuoneistoon. 2026 porraskäytävien valaistuksen uusiminen. Porraskäytävän maalaus.,Oma,,,2
37,37,https://www.etuovi.com/kohde/80399546,19072025,True,,114000.0,80399546,Heinäpää,"2h, k, kph, s, lasit.parveke",53 m²,3/3 (ylin kerros),1995 asuinhuoneistojen ikkunat ja parvekeovet uusittu. 1996 ulko-ovet uusittu. 2001 matalan puolen vesikatto maalattu. 2003 korkean puolen parvekkeet peruskunnostettu. 2006 rakennusten väliset lämmitysputket uusittu. 2007 molok-syväkeräysastiat hankittu. 2009 saunat kunnostettu. 2009 asunto- ja pystyviemärit pinnoitettu. 2009 pohjaviemäri uusittu. 2010 piha-asfaltti uusittu ja laajennettu. 2010 lämmönsiirtimet uusittu. 2011 käyttövesiputkien uusiminen. 2011 patteriventtiilit ja verkosto tasapainotettu. 2011 hissi uudistettu. 2012 autolämmityskotelot uusittu. 2012 sähköpääkeskuksen sulaketaulu uusittu. 2012 autotalliliuska saneerattu. 2012 iv-hormit puhdistettu. 2013 lukitus uusittu. 2015 raja-aita uusittu. 2015 korkean talon vesikatolle asennettu huopakate peltikatteen päälle. 2016 piha-alueen valaistuksen kunnostus. 2016 pihan korjausta. 2016 sauna- ja pesulaosaston ikkunoiden uusiminen. 2017 sokkelin loppukunnostus. 2019 porraskäytävien kunnostus. 2019 kerrostaso-ovien uusiminen. 2020 matalan puolen vesikaton maalauskunnostus. 2021 iv-hormien nuohous.,Hyvä,Kaukolämpö,"Retta Isännöinti Oy, Oulu, Minna Juntunen, minna.juntunen@retta.fi, 0102281800",Kunnossapitotarveselvityksellä viidelle vuodelle suunnitteilla: tuuletusparvekkeiden pintojen kunnostus sekä ovien ja ikkunoiden tiivistäminen.,Vuokra,30.12.2056,,2
38,38,https://www.etuovi.com/kohde/20261791,19072025,True,,169000.0,20261791,Heinäpää,2h + kt,37 m²,3/12,2021: Sähköautojen latausinfran hankkiminen,Hyvä,Kaukolämpö,immo.rautiainen@kiinteistotahkola.fi. p.02077488209,2 x vuosi Iv-koneiden suodattimien vaihto,Oma,,,2
39,39,https://www.etuovi.com/kohde/x69298,19072025,True,,99400.0,x69298,Heinäpää,Huoneisto + 3h + k + kph + p,"78,5 m²",2/3 (keskikerros),2015 Vesikaton pinnoitteen uusiminen,Hyvä,,Heikki Lahti Oy,Palovaroittimet 2025,Vuokra,,31.12.2055,H
40,40,https://www.etuovi.com/kohde/20472563,19072025,True,,288000.0,20472563,Heinäpää,3h + kt + khh + s,"69,5 m²",3/5,"Syksy 2020 Latausasemavalmiuden suunnittelu autopaikoille, 2021 Latausasemavalmiuden hankinta autopaikoille, 2023 Perusvesipumppaamojen pumppujen uusiminen (yhteishanke Puistovahdin kanssa), 2024 Autohallin ajoluiskan kattamisen suunnittelu, toteutuksesta päätetään yhtiökokouksessa",Ei luokiteltu,Kaukolämpö,Kiinteistö-Tahkola Oulu Oy Immo Rautiainen p. 020 7488209 immo.rautiainen@kiinteistotahkola.fi,,Oma,,,3
